CLIENTE,PRODUCTO,PRECIO,CANTIDAD,CIUDAD,VENDEDOR,FECHA,ESTADO,VALOR_VENTA,COMISION,CATEGORIA
Jorge Martínez,Jabón 500g,2.74,5,Neiva,Luis P.,2025-02-28,Cancelado,13.7,0.68,Bebidas
Valentina Silva,Huevos 12u,2.21,2,Bucaramanga,Andrea C.,2025-01-15,Cerrado,4.42,0.22,Alimentos
Héctor Suarez,Detergente 1kg,5.44,2,Cartagena,Diego S.,2025-01-02,Cerrado,10.88,0.54,Carnes
Gabriel Navarro,Pasta 500g,2.03,1,Santa Marta,Daniela F.,2025-04-18,Cerrado,2.03,0.1,Lácteos
Carlos Pérez,Café 250g,5.56,3,Cartagena,Natalia M.,2024-11-27,Cerrado,16.68,0.83,Lácteos
Óscar Herrera,Jabón 500g,2.52,17,Bucaramanga,Andrea C.,2025-04-19,Pendiente,42.84,2.14,Limpieza
Luisa Fernández,Mantequilla 200g,4.0,5,Ibagué,Diego S.,2024-09-25,Cerrado,20.0,1.0,Bebidas
Andrés Díaz,Pasta 500g,2.07,8,Medellín,Juan L.,2025-04-30,Cerrado,16.56,0.83,Snacks
Patricia Morales,Pasta 500g,2.05,12,Santa Marta,Luis P.,2025-01-05,Cerrado,24.6,1.23,Bebidas
Valentina Silva,Azúcar 1kg,2.63,1,Santa Marta,María V.,2024-10-26,Pendiente,2.63,0.13,Bebidas no alcohólicas
Luisa Fernández,Café 250g,5.78,2,Barranquilla,Luis P.,2024-12-23,Cerrado,11.56,0.58,Congelados
Felipe Rojas,Arroz 1kg,4.46,2,Neiva,Diego S.,2025-03-29,Cerrado,8.92,0.45,Alimentos
Diego Ramírez,Aceite 1L,7.54,5,Santa Marta,Andrea C.,2025-07-04,Cerrado,37.7,1.89,Alimentos
Jorge Martínez,Tomate enlatado 400g,1.46,2,Sincelejo,Natalia M.,2025-01-24,Cerrado,2.92,0.15,Bebidas
Felipe Rojas,Pollo 1kg,8.98,3,Medellín,María V.,2025-04-11,Cerrado,26.94,1.35,Lácteos
Héctor Suarez,Aceite 1L,8.18,5,Neiva,Camila R.,2025-04-08,Pendiente,40.9,2.04,Lácteos
Juan Gómez,Harina 1kg,3.56,4,Villavicencio,Diego S.,2025-07-03,Cancelado,14.24,0.71,Snacks
Felipe Rojas,Tomate enlatado 400g,1.72,1,Cúcuta,Juan L.,2024-12-10,Pendiente,1.72,0.09,Bebidas no alcohólicas
María Rodríguez,Tomate enlatado 400g,1.74,6,Barranquilla,Camila R.,2025-09-04,Pendiente,10.44,0.52,Alimentos
Óscar Herrera,Pan 500g,1.4,1,Pereira,Diego S.,2025-02-17,Cancelado,1.4,0.07,Snacks
Héctor Suarez,Queso 250g,4.74,8,Barranquilla,Santiago Q.,2024-10-23,Cerrado,37.92,1.9,Lácteos
Patricia Morales,Yogur 120g,0.65,12,Villavicencio,Diego S.,2025-04-10,Cerrado,7.8,0.39,Snacks
Ricardo Castro,Detergente 1kg,5.01,3,Bucaramanga,Luis P.,2025-01-10,Cerrado,15.03,0.75,Congelados
Gabriel Navarro,Detergente 1kg,6.01,40,Sincelejo,Andrea C.,2025-06-17,Cerrado,240.4,12.02,Lácteos
Héctor Suarez,Mantequilla 200g,3.92,12,Medellín,Luis P.,2025-08-13,Pendiente,47.04,2.35,Panadería
Cecilia Torres,Tomate enlatado 400g,1.32,1,Cúcuta,Luis P.,2025-01-21,Cerrado,1.32,0.07,Bebidas no alcohólicas
Patricia Morales,Huevos 12u,2.24,1,Manizales,Luis P.,2025-02-18,Cerrado,2.24,0.11,Carnes
Cecilia Torres,Arroz 1kg,3.39,35,Pereira,Diego S.,2025-05-05,Pendiente,118.65,5.93,Alimentos
Cecilia Torres,Leche 1L,3.35,1,Bucaramanga,Diego S.,2025-04-30,Cancelado,3.35,0.17,Limpieza
Sofía López,Mantequilla 200g,3.85,6,Barranquilla,Daniela F.,2024-10-28,Cerrado,23.1,1.16,Congelados
Cecilia Torres,Jabón 500g,2.7,1,Medellín,María V.,2024-11-19,Cancelado,2.7,0.14,Abarrotes
Ana García,Galletas 200g,2.21,2,Montería,Carlos T.,2025-06-02,Cerrado,4.42,0.22,Carnes
Juan Gómez,Jabón 500g,2.09,4,Cartagena,Carlos T.,2025-02-18,Pendiente,8.36,0.42,Limpieza
Jorge Martínez,Cereal 300g,3.72,4,Ibagué,Andrea C.,2025-08-10,Cerrado,14.88,0.74,Lácteos
Patricia Morales,Azúcar 1kg,3.82,3,Cartagena,Santiago Q.,2025-03-28,Cerrado,11.46,0.57,Abarrotes
Isabella Ortiz,Salsa de tomate 400g,1.54,14,Villavicencio,Natalia M.,2025-01-19,Cerrado,21.56,1.08,Bebidas
Ana García,Cereal 300g,4.5,20,Ibagué,Daniela F.,2025-06-20,Cerrado,90.0,4.5,Bebidas
Felipe Rojas,Galletas 200g,2.35,7,Manizales,Andrea C.,2025-05-09,Cerrado,16.45,0.82,Congelados
Isabella Ortiz,Aceite 1L,7.15,1,Medellín,Juan L.,2025-04-19,Pendiente,7.15,0.36,Bebidas
Isabella Ortiz,Huevos 12u,2.26,14,Ibagué,Natalia M.,2025-05-19,Cerrado,31.64,1.58,Abarrotes
Cecilia Torres,Detergente 1kg,5.54,3,Bucaramanga,Carlos T.,2025-07-13,Cerrado,16.62,0.83,Abarrotes
Diego Ramírez,Jabón 500g,2.57,4,Neiva,Camila R.,2025-06-19,Cancelado,10.28,0.51,Bebidas no alcohólicas
Óscar Herrera,Tomate enlatado 400g,1.29,5,Barranquilla,María V.,2025-07-26,Cerrado,6.45,0.32,Carnes
Cecilia Torres,Café 250g,5.5,5,Barranquilla,Daniela F.,2025-05-13,Cerrado,27.5,1.38,Alimentos
Laura Mendoza,Detergente 1kg,5.24,1,Pereira,Santiago Q.,2025-08-13,Pendiente,5.24,0.26,Panadería
Patricia Morales,Arroz 1kg,4.56,5,Bogotá,Luis P.,2025-04-23,Cerrado,22.8,1.14,Snacks
Carlos Pérez,Salsa de tomate 400g,1.82,2,Montería,Daniela F.,2025-02-27,Cerrado,3.64,0.18,Bebidas
Juan Gómez,Pan 500g,1.1,5,Cartagena,Camila R.,2025-02-17,Cerrado,5.5,0.28,Congelados
Patricia Morales,Azúcar 1kg,3.57,2,Ibagué,Diego S.,2025-01-09,Cerrado,7.14,0.36,Bebidas
Cecilia Torres,Cereal 300g,3.99,2,Pereira,Camila R.,2025-01-21,Pendiente,7.98,0.4,Snacks
Ricardo Castro,Café 250g,5.16,7,Bucaramanga,Diego S.,2024-11-09,Pendiente,36.12,1.81,Carnes
Isabella Ortiz,Azúcar 1kg,3.49,4,Ibagué,María V.,2025-09-19,Cerrado,13.96,0.7,Bebidas no alcohólicas
Carlos Pérez,Aceite 1L,8.72,2,Cartagena,Natalia M.,2024-12-19,Cerrado,17.44,0.87,Abarrotes
Felipe Rojas,Pollo 1kg,7.6,4,Villavicencio,Luis P.,2025-03-04,Cerrado,30.4,1.52,Bebidas no alcohólicas
Héctor Suarez,Queso 250g,4.25,1,Cúcuta,Carlos T.,2025-02-13,Cerrado,4.25,0.21,Lácteos
Cecilia Torres,Azúcar 1kg,2.89,2,Neiva,Andrea C.,2025-06-02,Cerrado,5.78,0.29,Bebidas
Juan Gómez,Cereal 300g,4.31,3,Sincelejo,María V.,2025-09-05,Cancelado,12.93,0.65,Alimentos
Luisa Fernández,Tomate enlatado 400g,1.46,2,Neiva,Luis P.,2025-04-04,Cerrado,2.92,0.15,Lácteos
Isabella Ortiz,Aceite 1L,8.82,3,Neiva,Natalia M.,2025-04-07,Cerrado,26.46,1.32,Carnes
Laura Mendoza,Queso 250g,4.89,40,Barranquilla,Daniela F.,2024-10-04,Cerrado,195.6,9.78,Bebidas
Felipe Rojas,Azúcar 1kg,3.63,3,Neiva,Santiago Q.,2025-07-04,Pendiente,10.89,0.54,Lácteos
Óscar Herrera,Salsa de tomate 400g,1.89,9,Cúcuta,Luis P.,2024-10-06,Pendiente,17.01,0.85,Bebidas
Cecilia Torres,Yogur 120g,0.84,1,Sincelejo,Juan L.,2024-10-05,Cerrado,0.84,0.04,Congelados
Diego Ramírez,Detergente 1kg,5.06,1,Sincelejo,Juan L.,2025-05-15,Pendiente,5.06,0.25,Carnes
Ricardo Castro,Café 250g,6.34,2,Manizales,Carlos T.,2025-08-07,Cerrado,12.68,0.63,Panadería
Cecilia Torres,Salsa de tomate 400g,1.87,3,Santa Marta,Diego S.,2025-01-17,Cerrado,5.61,0.28,Abarrotes
Ricardo Castro,Café 250g,5.29,4,Ibagué,Daniela F.,2025-09-08,Cerrado,21.16,1.06,Limpieza
Diego Ramírez,Yogur 120g,0.71,2,Santa Marta,Andrea C.,2025-05-23,Cerrado,1.42,0.07,Abarrotes
Jorge Martínez,Atún 170g,2.4,15,Villavicencio,María V.,2025-04-15,Cerrado,36.0,1.8,Abarrotes
Cecilia Torres,Cereal 300g,3.54,5,Cali,Santiago Q.,2024-12-20,Cerrado,17.7,0.88,Lácteos
Héctor Suarez,Detergente 1kg,5.18,2,Santa Marta,Carlos T.,2024-12-26,Cerrado,10.36,0.52,Carnes
Felipe Rojas,Atún 170g,2.56,11,Medellín,Diego S.,2025-02-17,Cerrado,28.16,1.41,Bebidas
Felipe Rojas,Galletas 200g,1.91,1,Bogotá,Juan L.,2024-11-26,Cerrado,1.91,0.1,Bebidas no alcohólicas
Laura Mendoza,Detergente 1kg,7.04,5,Manizales,Daniela F.,2025-03-01,Pendiente,35.2,1.76,Limpieza
Juan Gómez,Atún 170g,2.43,1,Santa Marta,Natalia M.,2025-08-11,Cerrado,2.43,0.12,Snacks
Sofía López,Harina 1kg,3.55,5,Villavicencio,Juan L.,2024-11-01,Cerrado,17.75,0.89,Lácteos
Luisa Fernández,Jabón 500g,2.68,8,Neiva,Andrea C.,2025-08-07,Cerrado,21.44,1.07,Limpieza
Juan Gómez,Galletas 200g,2.13,5,Manizales,Luis P.,2025-06-27,Cerrado,10.65,0.53,Panadería
Óscar Herrera,Harina 1kg,3.19,4,Sincelejo,Daniela F.,2024-11-17,Cerrado,12.76,0.64,Congelados
Carlos Pérez,Tomate enlatado 400g,1.65,1,Cali,Diego S.,2024-10-22,Cerrado,1.65,0.08,Carnes
Héctor Suarez,Café 250g,4.67,4,Pereira,Luis P.,2024-12-09,Cancelado,18.68,0.93,Snacks
Diego Ramírez,Pasta 500g,2.15,2,Cali,María V.,2025-03-04,Cerrado,4.3,0.22,Lácteos
Andrés Díaz,Mantequilla 200g,4.28,18,Sincelejo,Andrea C.,2024-10-03,Cerrado,77.04,3.85,Abarrotes
Héctor Suarez,Pan 500g,1.39,2,Bogotá,Natalia M.,2025-06-04,Pendiente,2.78,0.14,Alimentos
Cecilia Torres,Café 250g,5.36,2,Santa Marta,Natalia M.,2025-06-26,Cerrado,10.72,0.54,Lácteos
María Rodríguez,Arroz 1kg,3.63,3,Villavicencio,María V.,2025-03-08,Cerrado,10.89,0.54,Alimentos
Óscar Herrera,Arroz 1kg,3.25,14,Cúcuta,María V.,2024-12-30,Pendiente,45.5,2.28,Abarrotes
Héctor Suarez,Harina 1kg,3.82,4,Villavicencio,Camila R.,2025-05-07,Pendiente,15.28,0.76,Congelados
Laura Mendoza,Leche 1L,2.74,3,Medellín,Luis P.,2025-01-12,Cerrado,8.22,0.41,Carnes
Patricia Morales,Queso 250g,4.52,1,Pereira,Daniela F.,2025-09-24,Cerrado,4.52,0.23,Bebidas
Héctor Suarez,Jabón 500g,2.31,14,Bogotá,Natalia M.,2025-08-15,Cerrado,32.34,1.62,Lácteos
Diego Ramírez,Galletas 200g,2.18,4,Santa Marta,Santiago Q.,2025-01-25,Cerrado,8.72,0.44,Bebidas no alcohólicas
Laura Mendoza,Jabón 500g,2.98,2,Cali,Andrea C.,2025-03-10,Cancelado,5.96,0.3,Abarrotes
María Rodríguez,Galletas 200g,1.66,1,Santa Marta,María V.,2024-09-27,Pendiente,1.66,0.08,Lácteos
María Rodríguez,Café 250g,5.62,6,Montería,Diego S.,2024-12-27,Cerrado,33.72,1.69,Panadería
Héctor Suarez,Tomate enlatado 400g,1.59,1,Villavicencio,Diego S.,2024-10-01,Cerrado,1.59,0.08,Congelados
Héctor Suarez,Aceite 1L,7.97,2,Sincelejo,Camila R.,2025-05-04,Cerrado,15.94,0.8,Panadería
Isabella Ortiz,Harina 1kg,3.16,1,Villavicencio,Andrea C.,2025-05-27,Pendiente,3.16,0.16,Limpieza
